Country Name,Country ISO Code,Indicator Name,1998.000,2000.000,2002.000,2004.000,2006.000,2008.000,2010.000,2012.000,2014.000,2016.000,2018.000,2020.000
Aruba,ABW,Pump price for gasoline (US$ per liter),0.540,0.540,0.540,0.730,0.890,1.280,1.020,1.400,1.230,1.120,1.260,1.245
Africa Eastern and Southern,AFE,Pump price for gasoline (US$ per liter),0.450,0.560,0.520,0.880,1.040,1.215,1.285,1.470,1.375,0.950,1.210,1.293
Afghanistan,AFG,Pump price for gasoline (US$ per liter),0.190,0.270,0.340,0.530,0.680,1.050,1.150,1.280,1.070,0.700,0.990,1.030
Africa Western and Central,AFW,Pump price for gasoline (US$ per liter),0.680,0.640,0.685,0.885,1.030,1.085,1.190,1.170,1.245,0.950,1.060,1.153
Angola,AGO,Pump price for gasoline (US$ per liter),0.380,0.300,0.190,0.390,0.500,0.530,0.650,0.630,0.760,0.970,0.800,0.780
Albania,ALB,Pump price for gasoline (US$ per liter),0.860,0.570,0.800,1.230,1.440,1.360,1.460,1.810,1.760,1.360,1.585,1.673
Andorra,AND,Pump price for gasoline (US$ per liter),,,,,,1.240,1.490,1.670,1.510,,0.835,1.173
Arab World,ARB,Pump price for gasoline (US$ per liter),0.310,0.280,0.295,0.320,0.370,0.490,0.550,0.580,0.825,0.670,0.625,0.725
United Arab Emirates,ARE,Pump price for gasoline (US$ per liter),0.230,0.250,0.290,0.280,0.370,0.450,0.470,0.470,0.470,0.490,0.480,0.475
Argentina,ARG,Pump price for gasoline (US$ per liter),0.940,1.070,0.630,0.630,0.620,0.780,0.960,1.460,1.520,1.100,1.280,1.400
Armenia,ARM,Pump price for gasoline (US$ per liter),0.490,0.550,0.420,0.680,0.960,1.080,1.080,1.250,1.300,0.770,1.010,1.155
Australia,AUS,Pump price for gasoline (US$ per liter),0.460,0.570,0.500,0.850,0.930,0.740,1.270,1.390,1.230,0.930,1.160,1.195
Austria,AUT,Pump price for gasoline (US$ per liter),1.040,0.820,0.840,1.320,1.320,1.370,1.630,1.810,1.600,1.200,1.505,1.553
Azerbaijan,AZE,Pump price for gasoline (US$ per liter),0.460,0.390,0.370,0.410,0.460,0.740,0.750,0.760,1.210,0.560,0.660,0.935
Burundi,BDI,Pump price for gasoline (US$ per liter),0.720,1.010,0.580,1.040,1.200,1.390,1.430,1.470,1.530,1.210,1.340,1.435
Belgium,BEL,Pump price for gasoline (US$ per liter),1.120,0.960,1.040,1.500,1.630,1.500,1.870,2.090,1.900,1.430,1.760,1.830
Benin,BEN,Pump price for gasoline (US$ per liter),0.390,0.480,0.540,0.770,0.810,1.030,1.040,1.240,1.030,0.720,0.980,1.005
Burkina Faso,BFA,Pump price for gasoline (US$ per liter),0.680,0.680,0.830,1.180,1.150,1.380,1.440,1.430,1.400,0.980,1.205,1.303
Bangladesh,BGD,Pump price for gasoline (US$ per liter),0.470,0.460,0.520,0.590,0.790,1.170,1.090,1.150,1.300,1.120,1.135,1.218
Bulgaria,BGR,Pump price for gasoline (US$ per liter),0.660,0.700,0.680,0.920,1.050,1.280,1.510,1.690,1.490,1.110,1.400,1.445
Bahrain,BHR,Pump price for gasoline (US$ per liter),0.260,0.270,0.270,0.270,0.210,0.210,0.210,0.270,,0.430,0.350,0.175
"Bahamas, The",BHS,Pump price for gasoline (US$ per liter),,,,,,,,,1.050,0.920,0.460,0.755
Bosnia and Herzegovina,BIH,Pump price for gasoline (US$ per liter),0.660,0.680,0.740,0.970,1.340,1.130,1.420,1.590,1.510,1.050,1.320,1.415
Belarus,BLR,Pump price for gasoline (US$ per liter),0.340,0.550,0.500,0.620,0.790,1.330,1.080,0.880,1.060,0.600,0.740,0.900
Belize,BLZ,Pump price for gasoline (US$ per liter),,,,1.200,1.270,0.700,1.130,1.440,1.370,1.130,1.285,1.328
Bolivia,BOL,Pump price for gasoline (US$ per liter),0.530,0.800,0.690,0.540,0.540,0.680,0.700,0.700,0.700,0.710,0.705,0.703
Brazil,BRA,Pump price for gasoline (US$ per liter),0.800,0.920,0.550,0.840,1.260,1.260,1.580,1.390,1.270,1.020,1.205,1.238
Barbados,BRB,Pump price for gasoline (US$ per liter),0.720,0.950,0.660,0.820,1.110,1.000,1.250,,1.810,,0.000,0.905
Brunei Darussalam,BRN,Pump price for gasoline (US$ per liter),0.340,0.310,0.300,0.320,0.340,0.380,0.390,0.430,0.410,0.370,0.400,0.405
Bhutan,BTN,Pump price for gasoline (US$ per liter),0.590,0.580,,0.780,,0.910,1.080,1.190,1.040,0.980,1.085,1.063
Botswana,BWA,Pump price for gasoline (US$ per liter),0.310,0.420,0.410,0.660,0.780,0.880,0.930,1.230,1.060,0.710,0.970,1.015
Central African Republic,CAF,Pump price for gasoline (US$ per liter),0.810,,1.000,1.290,1.370,1.440,1.710,1.710,1.690,1.410,1.560,1.625
Canada,CAN,Pump price for gasoline (US$ per liter),0.410,0.580,0.510,0.680,0.840,0.760,1.210,1.320,1.170,0.810,1.065,1.118
Central Europe and the Baltics,CEB,Pump price for gasoline (US$ per liter),0.610,0.690,0.740,1.080,1.260,1.270,1.590,1.800,1.580,1.160,1.480,1.530
Switzerland,CHE,Pump price for gasoline (US$ per liter),0.860,0.780,0.890,1.290,1.270,1.300,1.660,1.880,1.740,1.450,1.665,1.703
Chile,CHL,Pump price for gasoline (US$ per liter),0.490,0.640,0.580,0.850,1.090,0.950,1.380,1.560,1.520,1.030,1.295,1.408
China,CHN,Pump price for gasoline (US$ per liter),0.280,0.400,0.420,0.480,0.690,0.990,1.110,1.370,1.170,0.960,1.165,1.168
Cote d'Ivoire,CIV,Pump price for gasoline (US$ per liter),0.740,0.760,0.850,1.140,1.200,1.330,1.680,1.510,1.420,0.930,1.220,1.320
Cameroon,CMR,Pump price for gasoline (US$ per liter),0.640,0.560,0.680,0.950,1.140,1.140,1.200,1.100,1.240,1.030,1.065,1.153
"Congo, Dem. Rep.",COD,Pump price for gasoline (US$ per liter),0.500,1.000,0.700,0.920,0.940,1.230,1.280,1.480,1.680,1.490,1.485,1.583
"Congo, Rep.",COG,Pump price for gasoline (US$ per liter),0.720,0.530,0.690,0.870,0.960,0.810,1.270,1.150,1.130,0.970,1.060,1.095
Colombia,COL,Pump price for gasoline (US$ per liter),0.240,0.490,0.440,0.720,0.980,1.040,1.410,1.280,1.080,0.680,0.980,1.030
Cabo Verde,CPV,Pump price for gasoline (US$ per liter),0.810,0.590,,1.400,,1.840,1.840,2.300,1.560,1.020,1.660,1.610
Costa Rica,CRI,Pump price for gasoline (US$ per liter),,,0.640,0.780,0.980,1.240,1.140,1.570,1.440,0.980,1.275,1.358
Caribbean small states,CSS,Pump price for gasoline (US$ per liter),,0.560,,0.705,0.940,0.875,1.020,,1.290,,0.000,0.645
Cuba,CUB,Pump price for gasoline (US$ per liter),0.500,,0.900,0.950,1.100,1.670,1.720,1.400,1.400,,0.700,1.050
Cyprus,CYP,Pump price for gasoline (US$ per liter),0.780,0.570,0.830,1.080,1.250,1.280,1.470,1.770,1.610,1.230,1.500,1.555
Czech Republic,CZE,Pump price for gasoline (US$ per liter),0.720,0.770,0.810,1.080,1.300,1.370,1.750,1.930,1.670,1.170,1.550,1.610
Germany,DEU,Pump price for gasoline (US$ per liter),0.960,0.910,1.030,1.460,1.550,1.560,1.900,1.960,1.800,1.390,1.675,1.738
Djibouti,DJI,Pump price for gasoline (US$ per liter),,,,,,,1.630,1.750,1.410,1.320,1.535,1.473
Denmark,DNK,Pump price for gasoline (US$ per liter),1.050,1.010,1.090,1.510,1.580,1.540,2.000,2.020,2.010,1.550,1.785,1.898
Dominican Republic,DOM,Pump price for gasoline (US$ per liter),0.400,0.710,0.490,0.850,1.030,1.040,1.230,1.580,1.410,1.070,1.325,1.368
Algeria,DZA,Pump price for gasoline (US$ per liter),0.310,0.270,0.220,0.320,0.320,0.340,0.320,0.290,0.270,0.280,0.285,0.278
East Asia & Pacific (excluding high income),EAP,Pump price for gasoline (US$ per liter),0.310,0.385,,0.540,0.710,0.915,1.080,1.310,1.170,0.820,1.065,1.118
Early-demographic dividend,EAR,Pump price for gasoline (US$ per liter),0.410,0.530,0.515,0.625,0.800,0.870,1.020,1.240,1.140,0.910,1.075,1.108
East Asia & Pacific,EAS,Pump price for gasoline (US$ per liter),0.410,0.445,0.420,0.680,0.870,0.940,1.205,1.360,1.230,0.900,1.130,1.180
Europe & Central Asia (excluding high income),ECA,Pump price for gasoline (US$ per liter),0.490,0.550,0.480,0.680,0.860,1.115,1.105,1.385,1.270,0.815,1.100,1.185
Europe & Central Asia,ECS,Pump price for gasoline (US$ per liter),0.670,0.720,0.800,1.170,1.290,1.280,1.590,1.805,1.600,1.180,1.493,1.546
Ecuador,ECU,Pump price for gasoline (US$ per liter),0.380,0.310,0.550,0.540,0.470,0.510,0.530,0.580,0.600,0.610,0.595,0.598
"Egypt, Arab Rep.",EGY,Pump price for gasoline (US$ per liter),0.290,0.260,0.190,0.280,0.300,0.490,0.480,0.450,0.880,0.400,0.425,0.653
Euro area,EMU,Pump price for gasoline (US$ per liter),0.840,0.750,0.840,1.210,1.340,1.500,1.700,1.920,1.790,1.360,1.640,1.715
Eritrea,ERI,Pump price for gasoline (US$ per liter),0.370,0.560,0.360,0.800,1.900,2.530,2.540,2.490,3.330,2.000,2.245,2.788
Spain,ESP,Pump price for gasoline (US$ per liter),0.840,0.730,0.830,1.210,1.150,1.230,1.560,1.750,1.630,1.260,1.505,1.568
Estonia,EST,Pump price for gasoline (US$ per liter),0.450,0.600,0.580,0.940,1.230,1.180,1.540,1.760,1.460,1.140,1.450,1.455
Ethiopia,ETH,Pump price for gasoline (US$ per liter),0.360,0.460,0.520,0.600,0.930,0.920,0.910,1.050,0.990,0.750,0.900,0.945
European Union,EUU,Pump price for gasoline (US$ per liter),0.780,0.760,0.840,1.210,1.320,1.380,1.670,1.910,1.770,1.320,1.615,1.693
Fragile and conflict affected situations,FCS,Pump price for gasoline (US$ per liter),0.490,0.555,0.525,0.835,0.960,1.100,1.150,1.250,1.210,0.900,1.075,1.143
Finland,FIN,Pump price for gasoline (US$ per liter),1.170,1.060,1.120,1.540,1.550,1.570,1.940,2.080,1.890,1.450,1.765,1.828
Fiji,FJI,Pump price for gasoline (US$ per liter),0.500,,,0.910,1.070,1.150,,1.410,1.340,0.820,1.115,1.228
France,FRA,Pump price for gasoline (US$ per liter),1.110,0.990,1.050,1.420,1.480,1.520,1.980,1.910,1.790,1.390,1.650,1.720
Gabon,GAB,Pump price for gasoline (US$ per liter),0.630,0.530,0.690,0.900,0.640,1.140,,1.040,1.020,0.920,0.980,1.000
United Kingdom,GBR,Pump price for gasoline (US$ per liter),1.110,1.170,1.180,1.560,1.630,1.440,1.920,2.170,1.920,1.460,1.815,1.868
Georgia,GEO,Pump price for gasoline (US$ per liter),0.460,,0.480,0.730,0.860,1.090,1.130,1.340,1.240,0.760,1.050,1.145
Ghana,GHA,Pump price for gasoline (US$ per liter),0.320,0.200,0.280,0.490,0.860,0.900,0.820,0.920,1.060,0.920,0.920,0.990
Gibraltar,GIB,Pump price for gasoline (US$ per liter),0.840,0.730,0.830,1.210,1.150,1.230,1.560,1.750,1.630,1.260,1.505,1.568
Guinea,GIN,Pump price for gasoline (US$ per liter),0.680,0.850,0.660,0.750,0.790,1.020,0.950,1.340,1.450,0.900,1.120,1.285
"Gambia, The",GMB,Pump price for gasoline (US$ per liter),0.830,0.640,0.460,0.750,1.080,0.790,,,1.370,1.180,0.590,0.980
Greece,GRC,Pump price for gasoline (US$ per liter),0.650,0.720,0.780,1.140,1.160,1.230,2.050,2.060,1.980,1.540,1.800,1.890
Grenada,GRD,Pump price for gasoline (US$ per liter),0.540,0.540,0.540,0.730,0.890,1.280,1.020,1.400,,1.120,1.260,0.630
Greenland,GRL,Pump price for gasoline (US$ per liter),0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
Guatemala,GTM,Pump price for gasoline (US$ per liter),0.410,0.530,0.480,0.680,0.780,0.860,0.950,1.140,1.010,0.790,0.965,0.988
Guyana,GUY,Pump price for gasoline (US$ per liter),0.300,0.370,0.310,0.740,,0.840,0.930,1.080,1.150,0.900,0.990,1.070
High income,HIC,Pump price for gasoline (US$ per liter),0.720,0.760,0.830,1.135,1.260,1.270,1.590,1.830,1.645,1.225,1.528,1.586
"Hong Kong SAR, China",HKG,Pump price for gasoline (US$ per liter),1.360,1.460,1.470,1.540,1.690,1.950,1.920,2.160,2.060,1.860,2.010,2.035
Honduras,HND,Pump price for gasoline (US$ per liter),0.500,0.620,0.630,0.810,0.890,0.800,1.040,1.250,1.200,0.980,1.115,1.158
Heavily indebted poor countries (HIPC),HPC,Pump price for gasoline (US$ per liter),0.590,0.675,0.660,0.880,1.060,1.130,1.200,1.280,1.290,0.960,1.120,1.205
Croatia,HRV,Pump price for gasoline (US$ per liter),0.670,0.760,0.890,1.240,1.340,1.270,1.590,1.770,1.660,1.260,1.515,1.588
Haiti,HTI,Pump price for gasoline (US$ per liter),0.590,0.640,0.540,0.880,,1.160,,1.250,1.160,0.810,1.030,1.095
Hungary,HUN,Pump price for gasoline (US$ per liter),0.720,0.810,0.940,1.300,1.300,1.270,1.670,1.840,1.580,1.180,1.510,1.545
IBRD only,IBD,Pump price for gasoline (US$ per liter),0.420,0.530,0.490,0.670,0.825,0.910,1.095,1.290,1.170,0.830,1.060,1.115
IDA & IBRD total,IBT,Pump price for gasoline (US$ per liter),0.470,0.555,0.530,0.730,0.890,1.030,1.120,1.295,1.240,0.920,1.108,1.174
IDA total,IDA,Pump price for gasoline (US$ per liter),0.510,0.580,0.550,0.800,0.980,1.115,1.155,1.320,1.305,0.950,1.135,1.220
IDA blend,IDB,Pump price for gasoline (US$ per liter),0.500,0.535,0.530,0.800,0.980,1.175,1.235,1.370,1.225,1.020,1.195,1.210
Indonesia,IDN,Pump price for gasoline (US$ per liter),0.160,0.170,0.270,0.270,0.570,0.500,0.790,0.470,0.930,0.630,0.550,0.740
IDA only,IDX,Pump price for gasoline (US$ per liter),0.520,0.620,0.570,0.800,0.980,1.075,1.150,1.310,1.330,0.930,1.120,1.225
India,IND,Pump price for gasoline (US$ per liter),0.560,0.600,0.660,0.870,1.010,1.090,1.150,1.250,1.100,0.970,1.110,1.105
Ireland,IRL,Pump price for gasoline (US$ per liter),1.020,0.720,0.900,1.290,1.340,1.560,1.780,2.020,1.920,1.370,1.695,1.808
"Iran, Islamic Rep.",IRN,Pump price for gasoline (US$ per liter),0.080,0.050,0.070,0.090,0.090,0.100,0.097,0.330,0.374,0.399,0.365,0.369
Iraq,IRQ,Pump price for gasoline (US$ per liter),,,,,,,0.780,,0.430,0.610,0.305,0.368
Iceland,ISL,Pump price for gasoline (US$ per liter),1.120,1.050,1.160,1.640,1.860,1.150,1.710,1.990,1.850,1.690,1.840,1.845
Israel,ISR,Pump price for gasoline (US$ per liter),0.860,1.140,0.900,1.050,1.470,1.370,1.850,2.010,1.880,1.570,1.790,1.835
Italy,ITA,Pump price for gasoline (US$ per liter),1.190,0.970,1.050,1.530,1.560,1.570,1.870,2.280,2.140,1.610,1.945,2.043
Jamaica,JAM,Pump price for gasoline (US$ per liter),0.370,0.620,0.520,0.630,0.820,0.740,0.980,1.200,1.140,1.110,1.155,1.148
Jordan,JOR,Pump price for gasoline (US$ per liter),0.420,0.450,0.520,0.610,0.860,0.610,1.040,1.440,1.270,1.100,1.270,1.270
Japan,JPN,Pump price for gasoline (US$ per liter),1.020,1.060,0.910,1.260,1.090,1.420,1.600,2.000,1.380,1.060,1.530,1.455
Kazakhstan,KAZ,Pump price for gasoline (US$ per liter),0.300,0.360,0.350,0.520,0.700,0.830,0.710,1.010,0.810,0.420,0.715,0.763
Kenya,KEN,Pump price for gasoline (US$ per liter),0.700,0.710,0.700,0.920,1.120,1.200,1.330,1.370,1.210,0.950,1.160,1.185
Kyrgyz Republic,KGZ,Pump price for gasoline (US$ per liter),0.470,0.440,0.390,0.480,0.640,0.800,0.850,0.890,0.940,0.560,0.725,0.833
Cambodia,KHM,Pump price for gasoline (US$ per liter),0.470,0.610,0.630,0.790,1.010,0.940,1.150,1.350,1.340,0.900,1.125,1.233
"Korea, Rep.",KOR,Pump price for gasoline (US$ per liter),0.930,0.920,1.090,1.350,1.650,1.510,1.520,1.800,1.550,1.220,1.510,1.530
Kuwait,KWT,Pump price for gasoline (US$ per liter),0.170,0.210,0.200,0.240,0.220,0.240,0.230,0.230,0.220,0.350,0.290,0.255
Latin America & Caribbean (excluding high income),LAC,Pump price for gasoline (US$ per liter),0.500,0.620,0.550,0.720,0.890,0.870,1.065,1.280,1.200,0.980,1.130,1.165
Lao PDR,LAO,Pump price for gasoline (US$ per liter),0.310,0.410,0.360,0.540,0.860,0.920,1.260,1.330,1.400,0.930,1.130,1.265
