Country Name,Country ISO Code,Indicator Name,1998.000,2000.000,2002.000,2004.000,2006.000,2008.000,2010.000,2012.000,2014.000,2016.000,2018.000,2020.000
Lebanon,LBN,Pump price for gasoline (US$ per liter),0.350,0.530,0.650,0.710,0.740,0.760,1.130,1.110,0.960,0.740,0.925,0.943
Liberia,LBR,Pump price for gasoline (US$ per liter),,,,0.750,0.790,0.770,0.980,1.170,0.910,0.800,0.985,0.948
Libya,LBY,Pump price for gasoline (US$ per liter),0.220,0.250,0.100,0.090,0.120,0.140,0.170,0.120,,0.110,0.115,0.058
Latin America & Caribbean,LCN,Pump price for gasoline (US$ per liter),0.490,0.620,0.545,0.705,0.915,0.890,1.065,1.280,1.200,0.920,1.100,1.150
Least developed countries: UN classification,LDC,Pump price for gasoline (US$ per liter),0.570,0.640,0.605,0.800,1.010,1.130,1.180,1.340,1.340,0.960,1.150,1.245
Low income,LIC,Pump price for gasoline (US$ per liter),0.610,0.680,0.580,0.900,1.110,1.230,1.300,1.410,1.385,0.965,1.188,1.286
Liechtenstein,LIE,Pump price for gasoline (US$ per liter),0.850,0.810,0.890,1.290,1.270,1.300,1.660,1.880,1.740,,0.940,1.340
Sri Lanka,LKA,Pump price for gasoline (US$ per liter),0.840,0.660,0.540,0.720,0.880,1.430,1.190,1.290,1.270,0.880,1.085,1.178
Lower middle income,LMC,Pump price for gasoline (US$ per liter),0.470,0.530,0.520,0.685,0.850,0.930,1.075,1.250,1.140,0.905,1.078,1.109
Low & middle income,LMY,Pump price for gasoline (US$ per liter),0.470,0.550,0.540,0.740,0.890,1.030,1.110,1.290,1.225,0.920,1.105,1.165
Lesotho,LSO,Pump price for gasoline (US$ per liter),0.390,0.500,,0.730,0.890,0.790,0.970,1.240,1.030,0.700,0.970,1.000
Late-demographic dividend,LTE,Pump price for gasoline (US$ per liter),0.470,0.540,0.500,0.725,0.920,1.085,1.200,1.380,1.270,0.880,1.130,1.200
Lithuania,LTU,Pump price for gasoline (US$ per liter),0.510,0.660,0.690,1.030,1.080,1.130,1.590,1.830,1.570,1.160,1.495,1.533
Luxembourg,LUX,Pump price for gasoline (US$ per liter),0.780,0.750,0.760,1.190,1.290,1.400,1.550,1.640,1.520,1.190,1.415,1.468
Latvia,LVA,Pump price for gasoline (US$ per liter),0.550,0.670,0.700,0.940,1.200,1.120,1.480,1.800,1.480,1.160,1.480,1.480
Morocco,MAR,Pump price for gasoline (US$ per liter),0.790,0.820,0.870,1.100,1.220,1.290,1.230,1.420,1.380,0.990,1.205,1.293
Monaco,MCO,Pump price for gasoline (US$ per liter),,,,,,1.640,1.920,2.230,2.000,,1.115,1.558
Moldova,MDA,Pump price for gasoline (US$ per liter),,,,,,1.200,1.210,1.420,1.210,0.800,1.110,1.160
Madagascar,MDG,Pump price for gasoline (US$ per liter),0.470,0.760,1.080,1.050,1.150,1.550,1.520,1.490,1.350,1.110,1.300,1.325
Maldives,MDV,Pump price for gasoline (US$ per liter),,,,,,,0.840,1.100,1.630,,0.550,1.090
Middle East & North Africa,MEA,Pump price for gasoline (US$ per liter),0.310,0.290,0.290,0.310,0.320,0.450,0.480,0.525,0.830,0.550,0.538,0.684
Mexico,MEX,Pump price for gasoline (US$ per liter),0.360,0.610,0.620,0.590,0.740,0.740,0.810,0.860,1.030,0.730,0.795,0.913
Middle income,MIC,Pump price for gasoline (US$ per liter),0.465,0.530,0.520,0.690,0.860,0.950,1.090,1.285,1.205,0.910,1.098,1.151
North Macedonia,MKD,Pump price for gasoline (US$ per liter),0.700,0.760,0.850,1.170,1.230,1.150,1.520,1.750,1.490,1.110,1.430,1.460
Mali,MLI,Pump price for gasoline (US$ per liter),0.770,0.700,0.690,1.160,1.220,1.300,1.420,1.410,1.470,1.120,1.265,1.368
Malta,MLT,Pump price for gasoline (US$ per liter),0.770,0.810,0.870,1.180,1.380,1.660,1.630,1.920,1.800,1.360,1.640,1.720
Myanmar,MMR,Pump price for gasoline (US$ per liter),0.130,0.330,0.360,0.120,0.660,0.430,0.800,1.040,1.140,0.540,0.790,0.965
Middle East & North Africa (excluding high income),MNA,Pump price for gasoline (US$ per liter),0.350,0.440,0.290,0.460,0.600,0.610,0.940,0.860,0.895,0.735,0.798,0.846
Montenegro,MNE,Pump price for gasoline (US$ per liter),0.610,0.560,0.740,1.200,1.510,1.270,1.620,1.820,1.600,1.160,1.490,1.545
Mongolia,MNG,Pump price for gasoline (US$ per liter),0.230,0.380,0.380,0.610,0.880,1.380,1.110,1.290,1.010,0.720,1.005,1.008
Mozambique,MOZ,Pump price for gasoline (US$ per liter),0.550,0.560,0.460,0.880,1.150,1.710,1.110,1.580,1.550,0.650,1.115,1.333
Mauritania,MRT,Pump price for gasoline (US$ per liter),0.590,0.670,0.630,0.800,0.970,1.490,1.160,1.430,1.530,1.130,1.280,1.405
Mauritius,MUS,Pump price for gasoline (US$ per liter),,,,,,,1.550,1.650,1.650,1.120,1.385,1.518
Malawi,MWI,Pump price for gasoline (US$ per liter),0.510,0.690,0.660,0.950,1.170,1.780,1.710,1.930,1.780,1.150,1.540,1.660
Malaysia,MYS,Pump price for gasoline (US$ per liter),0.280,0.280,0.350,0.370,0.530,0.530,0.590,0.620,0.680,0.450,0.535,0.608
North America,NAC,Pump price for gasoline (US$ per liter),0.365,0.525,0.455,0.610,0.735,0.660,0.985,1.145,0.965,0.760,0.953,0.959
Namibia,NAM,Pump price for gasoline (US$ per liter),0.380,0.470,0.450,0.680,0.870,0.780,1.060,1.240,1.080,0.760,1.000,1.040
Niger,NER,Pump price for gasoline (US$ per liter),0.760,0.680,0.770,1.020,1.140,0.990,1.070,1.120,1.090,0.880,1.000,1.045
Nigeria,NGA,Pump price for gasoline (US$ per liter),0.130,0.270,0.200,0.390,0.510,0.590,0.440,0.620,0.560,0.460,0.540,0.550
Nicaragua,NIC,Pump price for gasoline (US$ per liter),0.470,0.620,0.540,0.690,0.670,0.870,1.090,1.230,1.180,0.910,1.070,1.125
Netherlands,NLD,Pump price for gasoline (US$ per liter),1.140,1.030,1.120,1.620,1.700,1.680,2.130,2.330,2.150,1.680,2.005,2.078
Norway,NOR,Pump price for gasoline (US$ per liter),1.210,1.190,1.230,1.610,1.800,1.630,2.120,2.530,2.270,1.780,2.155,2.213
Nepal,NPL,Pump price for gasoline (US$ per liter),0.590,0.630,0.660,0.720,0.940,1.130,1.180,1.440,1.310,0.910,1.175,1.243
New Zealand,NZL,Pump price for gasoline (US$ per liter),0.640,0.480,0.550,0.770,0.980,1.090,1.470,1.770,1.710,1.400,1.585,1.648
OECD members,OED,Pump price for gasoline (US$ per liter),0.840,0.770,0.865,1.235,1.300,1.370,1.670,1.895,1.725,1.320,1.608,1.666
Oman,OMN,Pump price for gasoline (US$ per liter),0.310,0.310,0.310,0.310,0.310,0.310,0.310,0.310,0.310,0.450,0.380,0.345
Other small states,OSS,Pump price for gasoline (US$ per liter),0.520,0.560,,0.760,0.890,0.910,1.240,1.300,1.370,1.020,1.160,1.265
Pakistan,PAK,Pump price for gasoline (US$ per liter),0.460,0.530,0.520,0.620,1.010,0.840,0.860,1.140,0.940,0.790,0.965,0.953
Panama,PAN,Pump price for gasoline (US$ per liter),0.410,0.530,0.510,0.540,0.700,0.670,0.850,1.050,0.960,0.740,0.895,0.928
Peru,PER,Pump price for gasoline (US$ per liter),0.550,0.800,0.740,1.120,1.220,1.420,1.410,1.630,1.460,0.990,1.310,1.385
Philippines,PHL,Pump price for gasoline (US$ per liter),0.340,0.370,0.350,0.520,0.760,0.910,1.050,1.250,1.050,0.860,1.055,1.053
Papua New Guinea,PNG,Pump price for gasoline (US$ per liter),0.410,0.530,,0.940,,0.940,,,1.360,,0.000,0.680
Poland,POL,Pump price for gasoline (US$ per liter),0.540,0.760,0.830,1.200,1.300,1.430,1.570,1.740,1.420,1.070,1.405,1.413
Pre-demographic dividend,PRE,Pump price for gasoline (US$ per liter),0.635,0.680,0.665,0.920,1.120,1.220,1.275,1.390,1.350,0.970,1.180,1.265
"Korea, Dem. People's Rep.",PRK,Pump price for gasoline (US$ per liter),0.730,0.550,0.550,0.780,0.710,0.760,,,0.940,0.580,0.290,0.615
Portugal,PRT,Pump price for gasoline (US$ per liter),1.020,0.770,0.970,1.380,1.560,1.610,1.850,2.150,1.890,1.540,1.845,1.868
Paraguay,PRY,Pump price for gasoline (US$ per liter),0.470,0.720,0.560,0.620,0.970,1.170,1.280,1.740,1.590,1.040,1.390,1.490
West Bank and Gaza,PSE,Pump price for gasoline (US$ per liter),0.860,1.080,0.990,1.170,1.290,1.340,1.710,1.870,1.770,1.540,1.705,1.738
Post-demographic dividend,PST,Pump price for gasoline (US$ per liter),0.775,0.795,0.880,1.210,1.300,1.370,1.630,1.860,1.690,1.290,1.575,1.633
Qatar,QAT,Pump price for gasoline (US$ per liter),0.160,,,0.210,0.190,0.220,0.190,0.270,0.230,0.400,0.335,0.283
Romania,ROU,Pump price for gasoline (US$ per liter),0.530,0.460,0.640,0.960,1.260,1.110,1.460,1.700,1.590,1.160,1.430,1.510
Russian Federation,RUS,Pump price for gasoline (US$ per liter),0.280,0.330,0.350,0.550,0.770,0.890,0.840,0.990,0.810,0.590,0.790,0.800
Rwanda,RWA,Pump price for gasoline (US$ per liter),0.720,0.890,0.840,0.980,1.110,1.370,1.630,1.730,1.410,1.170,1.450,1.430
South Asia,SAS,Pump price for gasoline (US$ per liter),0.575,0.590,0.530,0.720,0.910,1.090,1.120,1.220,1.185,0.910,1.065,1.125
Saudi Arabia,SAU,Pump price for gasoline (US$ per liter),0.160,0.240,0.240,0.240,0.160,0.160,0.160,0.160,0.160,0.240,0.200,0.180
Sudan,SDN,Pump price for gasoline (US$ per liter),0.330,0.280,0.300,0.470,0.720,0.650,0.620,0.630,0.820,0.950,0.790,0.805
Senegal,SEN,Pump price for gasoline (US$ per liter),0.710,0.730,0.750,1.100,1.310,1.350,1.570,1.720,1.700,1.140,1.430,1.565
Singapore,SGP,Pump price for gasoline (US$ per liter),0.720,0.840,0.850,0.890,0.920,1.070,1.420,1.680,1.580,1.250,1.465,1.523
Sierra Leone,SLE,Pump price for gasoline (US$ per liter),0.610,,0.510,0.760,0.980,0.910,0.940,1.050,1.040,1.080,1.065,1.053
El Salvador,SLV,Pump price for gasoline (US$ per liter),0.540,0.670,0.460,0.650,0.820,0.780,0.920,1.260,1.120,0.830,1.045,1.083
Somalia,SOM,Pump price for gasoline (US$ per liter),,,0.350,1.360,0.740,1.120,,,,1.410,0.705,0.353
Serbia,SRB,Pump price for gasoline (US$ per liter),0.610,0.560,0.740,1.000,1.450,1.290,1.500,1.780,1.550,1.160,1.470,1.510
Sub-Saharan Africa (excluding high income),SSA,Pump price for gasoline (US$ per liter),0.590,0.615,0.660,0.880,1.035,1.140,1.245,1.355,1.320,0.950,1.153,1.236
South Sudan,SSD,Pump price for gasoline (US$ per liter),,,,,1.760,1.590,1.500,1.970,1.980,0.280,1.125,1.553
Sub-Saharan Africa,SSF,Pump price for gasoline (US$ per liter),0.590,0.615,0.660,0.880,1.035,1.140,1.245,1.355,1.320,0.950,1.153,1.236
Small states,SST,Pump price for gasoline (US$ per liter),0.436,0.551,0.592,0.745,0.822,0.910,1.080,1.400,1.320,1.000,1.200,1.260
Suriname,SUR,Pump price for gasoline (US$ per liter),0.560,0.560,0.560,0.500,0.940,0.910,1.140,1.570,1.290,1.021,1.296,1.293
Slovak Republic,SVK,Pump price for gasoline (US$ per liter),0.610,0.690,0.740,1.170,1.350,1.570,1.700,1.980,1.770,1.320,1.650,1.710
Slovenia,SVN,Pump price for gasoline (US$ per liter),0.660,0.630,0.760,1.120,1.230,1.180,1.670,1.860,1.780,1.320,1.590,1.685
Sweden,SWE,Pump price for gasoline (US$ per liter),1.090,0.940,1.060,1.510,1.460,1.380,1.870,2.100,1.820,1.420,1.760,1.790
Eswatini,SWZ,Pump price for gasoline (US$ per liter),0.370,0.470,0.541,0.760,0.800,0.860,1.070,1.300,1.140,0.770,1.035,1.088
Syrian Arab Republic,SYR,Pump price for gasoline (US$ per liter),0.450,0.440,0.530,0.460,0.600,0.850,0.960,0.790,0.830,0.543,0.667,0.748
Chad,TCD,Pump price for gasoline (US$ per liter),0.700,0.680,0.790,1.170,1.310,1.300,1.320,0.950,0.900,0.780,0.865,0.883
East Asia & Pacific (IDA & IBRD countries),TEA,Pump price for gasoline (US$ per liter),0.305,0.412,0.521,0.540,0.730,0.920,1.110,1.310,1.170,0.840,1.075,1.123
Europe & Central Asia (IDA & IBRD countries),TEC,Pump price for gasoline (US$ per liter),0.510,0.550,0.570,0.825,1.005,1.130,1.210,1.450,1.320,1.030,1.240,1.280
Togo,TGO,Pump price for gasoline (US$ per liter),0.420,0.480,0.560,0.850,1.030,0.890,1.180,1.160,1.250,0.710,0.935,1.093
Thailand,THA,Pump price for gasoline (US$ per liter),0.300,0.390,0.360,0.540,0.700,0.870,1.410,1.560,1.290,0.710,1.135,1.213
Tajikistan,TJK,Pump price for gasoline (US$ per liter),0.260,0.450,0.360,0.670,0.800,1.030,1.020,1.450,1.320,0.710,1.080,1.200
Turkmenistan,TKM,Pump price for gasoline (US$ per liter),0.090,0.020,0.020,0.020,0.020,0.220,0.220,0.220,0.220,0.290,0.255,0.238
Latin America & the Caribbean (IDA & IBRD countries),TLA,Pump price for gasoline (US$ per liter),0.470,0.620,0.540,0.685,0.890,0.865,1.030,1.270,1.190,0.945,1.108,1.149
Timor-Leste,TLS,Pump price for gasoline (US$ per liter),0.430,0.460,0.520,0.650,0.980,1.220,1.400,1.650,1.170,1.100,1.375,1.273
Middle East & North Africa (IDA & IBRD countries),TMN,Pump price for gasoline (US$ per liter),0.330,0.355,0.255,0.390,0.460,0.550,0.860,0.790,0.880,0.730,0.760,0.820
South Asia (IDA & IBRD),TSA,Pump price for gasoline (US$ per liter),0.575,0.590,0.530,0.720,0.910,1.090,1.120,1.220,1.185,0.910,1.065,1.125
Sub-Saharan Africa (IDA & IBRD countries),TSS,Pump price for gasoline (US$ per liter),0.590,0.615,0.660,0.880,1.035,1.140,1.245,1.355,1.320,0.950,1.153,1.236
Trinidad and Tobago,TTO,Pump price for gasoline (US$ per liter),0.390,0.390,0.400,0.350,0.430,0.360,0.400,0.430,0.470,0.540,0.485,0.478
Tunisia,TUN,Pump price for gasoline (US$ per liter),0.600,0.490,0.290,0.680,0.830,0.960,0.940,0.930,0.910,0.730,0.830,0.870
Turkiye,TUR,Pump price for gasoline (US$ per liter),0.780,0.880,1.020,1.440,1.880,1.870,2.520,2.540,2.060,1.420,1.980,2.020
Tanzania,TZA,Pump price for gasoline (US$ per liter),0.630,0.750,0.670,0.930,1.040,1.110,1.220,1.310,1.290,0.870,1.090,1.190
Uganda,UGA,Pump price for gasoline (US$ per liter),0.860,0.860,0.830,1.020,1.170,1.300,1.420,1.442,1.400,0.940,1.191,1.296
Ukraine,UKR,Pump price for gasoline (US$ per liter),0.490,0.370,0.470,0.550,0.810,0.880,1.010,1.350,1.170,0.830,1.090,1.130
Upper middle income,UMC,Pump price for gasoline (US$ per liter),0.460,0.545,0.520,0.720,0.880,1.040,1.130,1.395,1.290,0.920,1.158,1.224
Uruguay,URY,Pump price for gasoline (US$ per liter),0.900,1.190,0.460,1.130,1.230,1.180,1.490,1.970,1.800,1.500,1.735,1.768
United States,USA,Pump price for gasoline (US$ per liter),0.320,0.470,0.400,0.540,0.630,0.560,0.760,0.970,0.760,0.710,0.840,0.800
Uzbekistan,UZB,Pump price for gasoline (US$ per liter),0.110,0.140,0.380,0.350,0.850,1.350,0.920,1.020,1.020,1.030,1.025,1.023
"Venezuela, RB",VEN,Pump price for gasoline (US$ per liter),0.140,0.120,0.050,0.040,0.030,0.020,0.023,0.023,0.015,0.000,0.012,0.013
British Virgin Islands,VGB,Pump price for gasoline (US$ per liter),0.720,0.950,0.660,0.820,1.110,1.000,1.250,1.320,1.810,1.550,1.820,1.815
Vietnam,VNM,Pump price for gasoline (US$ per liter),0.350,0.380,0.340,0.480,0.670,0.800,0.880,1.150,1.040,0.800,0.975,1.008
World,WLD,Pump price for gasoline (US$ per liter),0.540,0.600,0.580,0.805,0.980,1.110,1.220,1.410,1.340,0.970,1.190,1.265
Kosovo,XKX,Pump price for gasoline (US$ per liter),0.610,0.560,0.740,1.160,1.220,1.100,1.630,1.650,1.540,1.110,1.380,1.460
"Yemen, Rep.",YEM,Pump price for gasoline (US$ per liter),0.260,0.210,0.210,0.190,0.300,0.300,0.350,0.580,0.700,0.920,0.750,0.725
South Africa,ZAF,Pump price for gasoline (US$ per liter),0.430,0.500,0.430,0.810,0.850,0.870,1.190,1.380,1.190,0.920,1.150,1.170
Zambia,ZMB,Pump price for gasoline (US$ per liter),0.530,0.630,0.720,1.100,1.310,1.700,1.660,1.480,1.680,1.400,1.440,1.560
Zimbabwe,ZWE,Pump price for gasoline (US$ per liter),0.260,0.850,0.050,0.610,1.020,1.300,1.290,1.520,1.560,1.340,1.430,1.495
