Country Name,Country ISO Code,Indicator Name,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020
Aruba,ABW,Pump price for gasoline (US$ per liter),0.54,0.54,0.54,0.73,0.89,1.28,1.02,1.4,1.23,1.12,1.26,1.245
Africa Eastern and Southern,AFE,Pump price for gasoline (US$ per liter),0.45,0.56,0.52,0.88,1.04,1.215,1.285,1.47,1.375,0.95,1.21,1.293
Afghanistan,AFG,Pump price for gasoline (US$ per liter),0.19,0.27,0.34,0.53,0.68,1.05,1.15,1.28,1.07,0.7,0.99,1.03
Africa Western and Central,AFW,Pump price for gasoline (US$ per liter),0.68,0.64,0.685,0.885,1.03,1.085,1.19,1.17,1.245,0.95,1.06,1.153
Angola,AGO,Pump price for gasoline (US$ per liter),0.38,0.3,0.19,0.39,0.5,0.53,0.65,0.63,0.76,0.97,0.8,0.78
Albania,ALB,Pump price for gasoline (US$ per liter),0.86,0.57,0.8,1.23,1.44,1.36,1.46,1.81,1.76,1.36,1.585,1.673
Andorra,AND,Pump price for gasoline (US$ per liter),0.343,0.43,0.51,0.5,0.74,1.24,1.49,1.67,1.51,1.231,1.451,1.48
Arab World,ARB,Pump price for gasoline (US$ per liter),0.31,0.28,0.295,0.32,0.37,0.49,0.55,0.58,0.825,0.67,0.625,0.725
United Arab Emirates,ARE,Pump price for gasoline (US$ per liter),0.23,0.25,0.29,0.28,0.37,0.45,0.47,0.47,0.47,0.49,0.48,0.475
Argentina,ARG,Pump price for gasoline (US$ per liter),0.94,1.07,0.63,0.63,0.62,0.78,0.96,1.46,1.52,1.1,1.28,1.4
Armenia,ARM,Pump price for gasoline (US$ per liter),0.49,0.55,0.42,0.68,0.96,1.08,1.08,1.25,1.3,0.77,1.01,1.155
Australia,AUS,Pump price for gasoline (US$ per liter),0.46,0.57,0.5,0.85,0.93,0.74,1.27,1.39,1.23,0.93,1.16,1.195
Austria,AUT,Pump price for gasoline (US$ per liter),1.04,0.82,0.84,1.32,1.32,1.37,1.63,1.81,1.6,1.2,1.505,1.553
Azerbaijan,AZE,Pump price for gasoline (US$ per liter),0.46,0.39,0.37,0.41,0.46,0.74,0.75,0.76,1.21,0.56,0.66,0.935
Burundi,BDI,Pump price for gasoline (US$ per liter),0.72,1.01,0.58,1.04,1.2,1.39,1.43,1.47,1.53,1.21,1.34,1.435
Belgium,BEL,Pump price for gasoline (US$ per liter),1.12,0.96,1.04,1.5,1.63,1.5,1.87,2.09,1.9,1.43,1.76,1.83
Benin,BEN,Pump price for gasoline (US$ per liter),0.39,0.48,0.54,0.77,0.81,1.03,1.04,1.24,1.03,0.72,0.98,1.005
Burkina Faso,BFA,Pump price for gasoline (US$ per liter),0.68,0.68,0.83,1.18,1.15,1.38,1.44,1.43,1.4,0.98,1.205,1.303
Bangladesh,BGD,Pump price for gasoline (US$ per liter),0.47,0.46,0.52,0.59,0.79,1.17,1.09,1.15,1.3,1.12,1.135,1.218
Bulgaria,BGR,Pump price for gasoline (US$ per liter),0.66,0.7,0.68,0.92,1.05,1.28,1.51,1.69,1.49,1.11,1.4,1.445
Bahrain,BHR,Pump price for gasoline (US$ per liter),0.26,0.27,0.27,0.27,0.21,0.21,0.21,0.27,0.325,0.43,0.35,0.338
"Bahamas, The",BHS,Pump price for gasoline (US$ per liter),0.311,0.42,0.53,0.66,0.57,0.88,0.89,0.94,1.05,0.92,0.46,0.755
Bosnia and Herzegovina,BIH,Pump price for gasoline (US$ per liter),0.66,0.68,0.74,0.97,1.34,1.13,1.42,1.59,1.51,1.05,1.32,1.415
Belarus,BLR,Pump price for gasoline (US$ per liter),0.34,0.55,0.5,0.62,0.79,1.33,1.08,0.88,1.06,0.6,0.74,0.9
Belize,BLZ,Pump price for gasoline (US$ per liter),0.87,0.95,1.01,1.2,1.27,0.7,1.13,1.44,1.37,1.13,1.285,1.328
Bolivia,BOL,Pump price for gasoline (US$ per liter),0.53,0.8,0.69,0.54,0.54,0.68,0.7,0.7,0.7,0.71,0.705,0.703
Brazil,BRA,Pump price for gasoline (US$ per liter),0.8,0.92,0.55,0.84,1.26,1.26,1.58,1.39,1.27,1.02,1.205,1.238
Barbados,BRB,Pump price for gasoline (US$ per liter),0.72,0.95,0.66,0.82,1.11,1,1.25,1.341,1.81,1.71,1.526,1.668
Brunei Darussalam,BRN,Pump price for gasoline (US$ per liter),0.34,0.31,0.3,0.32,0.34,0.38,0.39,0.43,0.41,0.37,0.4,0.405
Bhutan,BTN,Pump price for gasoline (US$ per liter),0.59,0.58,0.591,0.78,0.801,0.91,1.08,1.19,1.04,0.98,1.085,1.063
Botswana,BWA,Pump price for gasoline (US$ per liter),0.31,0.42,0.41,0.66,0.78,0.88,0.93,1.23,1.06,0.71,0.97,1.015
Central African Republic,CAF,Pump price for gasoline (US$ per liter),0.81,0.921,1,1.29,1.37,1.44,1.71,1.71,1.69,1.41,1.56,1.625
Canada,CAN,Pump price for gasoline (US$ per liter),0.41,0.58,0.51,0.68,0.84,0.76,1.21,1.32,1.17,0.81,1.065,1.118
Central Europe and the Baltics,CEB,Pump price for gasoline (US$ per liter),0.61,0.69,0.74,1.08,1.26,1.27,1.59,1.8,1.58,1.16,1.48,1.53
Switzerland,CHE,Pump price for gasoline (US$ per liter),0.86,0.78,0.89,1.29,1.27,1.3,1.66,1.88,1.74,1.45,1.665,1.703
Chile,CHL,Pump price for gasoline (US$ per liter),0.49,0.64,0.58,0.85,1.09,0.95,1.38,1.56,1.52,1.03,1.295,1.408
China,CHN,Pump price for gasoline (US$ per liter),0.28,0.4,0.42,0.48,0.69,0.99,1.11,1.37,1.17,0.96,1.165,1.168
Cote d'Ivoire,CIV,Pump price for gasoline (US$ per liter),0.74,0.76,0.85,1.14,1.2,1.33,1.68,1.51,1.42,0.93,1.22,1.32
Cameroon,CMR,Pump price for gasoline (US$ per liter),0.64,0.56,0.68,0.95,1.14,1.14,1.2,1.1,1.24,1.03,1.065,1.153
"Congo, Dem. Rep.",COD,Pump price for gasoline (US$ per liter),0.5,1,0.7,0.92,0.94,1.23,1.28,1.48,1.68,1.49,1.485,1.583
"Congo, Rep.",COG,Pump price for gasoline (US$ per liter),0.72,0.53,0.69,0.87,0.96,0.81,1.27,1.15,1.13,0.97,1.06,1.095
Colombia,COL,Pump price for gasoline (US$ per liter),0.24,0.49,0.44,0.72,0.98,1.04,1.41,1.28,1.08,0.68,0.98,1.03
Cabo Verde,CPV,Pump price for gasoline (US$ per liter),0.81,0.59,0.711,1.4,1.543,1.84,1.84,2.3,1.56,1.02,1.66,1.61
Costa Rica,CRI,Pump price for gasoline (US$ per liter),0.39,0.55,0.64,0.78,0.98,1.24,1.14,1.57,1.44,0.98,1.275,1.358
Caribbean small states,CSS,Pump price for gasoline (US$ per liter),0.427,0.56,0.633,0.705,0.94,0.875,1.02,1.112,1.29,1.312,1.212,1.251
Cuba,CUB,Pump price for gasoline (US$ per liter),0.5,0.631,0.9,0.95,1.1,1.67,1.72,1.4,1.4,1.021,1.211,1.305
Cyprus,CYP,Pump price for gasoline (US$ per liter),0.78,0.57,0.83,1.08,1.25,1.28,1.47,1.77,1.61,1.23,1.5,1.555
Czech Republic,CZE,Pump price for gasoline (US$ per liter),0.72,0.77,0.81,1.08,1.3,1.37,1.75,1.93,1.67,1.17,1.55,1.61
Germany,DEU,Pump price for gasoline (US$ per liter),0.96,0.91,1.03,1.46,1.55,1.56,1.9,1.96,1.8,1.39,1.675,1.738
Djibouti,DJI,Pump price for gasoline (US$ per liter),0.69,0.88,0.91,1.33,1.53,1.57,1.63,1.75,1.41,1.32,1.535,1.473
Denmark,DNK,Pump price for gasoline (US$ per liter),1.05,1.01,1.09,1.51,1.58,1.54,2,2.02,2.01,1.55,1.785,1.898
Dominican Republic,DOM,Pump price for gasoline (US$ per liter),0.4,0.71,0.49,0.85,1.03,1.04,1.23,1.58,1.41,1.07,1.325,1.368
Algeria,DZA,Pump price for gasoline (US$ per liter),0.31,0.27,0.22,0.32,0.32,0.34,0.32,0.29,0.27,0.28,0.285,0.278
East Asia & Pacific (excluding high income),EAP,Pump price for gasoline (US$ per liter),0.31,0.385,0.44,0.54,0.71,0.915,1.08,1.31,1.17,0.82,1.065,1.118
Early-demographic dividend,EAR,Pump price for gasoline (US$ per liter),0.41,0.53,0.515,0.625,0.8,0.87,1.02,1.24,1.14,0.91,1.075,1.108
East Asia & Pacific,EAS,Pump price for gasoline (US$ per liter),0.41,0.445,0.42,0.68,0.87,0.94,1.205,1.36,1.23,0.9,1.13,1.18
Europe & Central Asia (excluding high income),ECA,Pump price for gasoline (US$ per liter),0.49,0.55,0.48,0.68,0.86,1.115,1.105,1.385,1.27,0.815,1.1,1.185
Europe & Central Asia,ECS,Pump price for gasoline (US$ per liter),0.67,0.72,0.8,1.17,1.29,1.28,1.59,1.805,1.6,1.18,1.493,1.546
Ecuador,ECU,Pump price for gasoline (US$ per liter),0.38,0.31,0.55,0.54,0.47,0.51,0.53,0.58,0.6,0.61,0.595,0.598
"Egypt, Arab Rep.",EGY,Pump price for gasoline (US$ per liter),0.29,0.26,0.19,0.28,0.3,0.49,0.48,0.45,0.88,0.4,0.425,0.653
Euro area,EMU,Pump price for gasoline (US$ per liter),0.84,0.75,0.84,1.21,1.34,1.5,1.7,1.92,1.79,1.36,1.64,1.715
Eritrea,ERI,Pump price for gasoline (US$ per liter),0.37,0.56,0.36,0.8,1.9,2.53,2.54,2.49,3.33,2,2.245,2.788
Spain,ESP,Pump price for gasoline (US$ per liter),0.84,0.73,0.83,1.21,1.15,1.23,1.56,1.75,1.63,1.26,1.505,1.568
Estonia,EST,Pump price for gasoline (US$ per liter),0.45,0.6,0.58,0.94,1.23,1.18,1.54,1.76,1.46,1.14,1.45,1.455
Ethiopia,ETH,Pump price for gasoline (US$ per liter),0.36,0.46,0.52,0.6,0.93,0.92,0.91,1.05,0.99,0.75,0.9,0.945
European Union,EUU,Pump price for gasoline (US$ per liter),0.78,0.76,0.84,1.21,1.32,1.38,1.67,1.91,1.77,1.32,1.615,1.693
Fragile and conflict affected situations,FCS,Pump price for gasoline (US$ per liter),0.49,0.555,0.525,0.835,0.96,1.1,1.15,1.25,1.21,0.9,1.075,1.143
Finland,FIN,Pump price for gasoline (US$ per liter),1.17,1.06,1.12,1.54,1.55,1.57,1.94,2.08,1.89,1.45,1.765,1.828
Fiji,FJI,Pump price for gasoline (US$ per liter),0.5,0.66,0.79,0.91,1.07,1.15,1.33,1.41,1.34,0.82,1.115,1.228
France,FRA,Pump price for gasoline (US$ per liter),1.11,0.99,1.05,1.42,1.48,1.52,1.98,1.91,1.79,1.39,1.65,1.72
Gabon,GAB,Pump price for gasoline (US$ per liter),0.63,0.53,0.69,0.9,0.64,1.14,1.08,1.04,1.02,0.92,0.98,1
United Kingdom,GBR,Pump price for gasoline (US$ per liter),1.11,1.17,1.18,1.56,1.63,1.44,1.92,2.17,1.92,1.46,1.815,1.868
Georgia,GEO,Pump price for gasoline (US$ per liter),0.46,0.51,0.48,0.73,0.86,1.09,1.13,1.34,1.24,0.76,1.05,1.145
Ghana,GHA,Pump price for gasoline (US$ per liter),0.32,0.2,0.28,0.49,0.86,0.9,0.82,0.92,1.06,0.92,0.92,0.99
Gibraltar,GIB,Pump price for gasoline (US$ per liter),0.84,0.73,0.83,1.21,1.15,1.23,1.56,1.75,1.63,1.26,1.505,1.568
Guinea,GIN,Pump price for gasoline (US$ per liter),0.68,0.85,0.66,0.75,0.79,1.02,0.95,1.34,1.45,0.9,1.12,1.285
"Gambia, The",GMB,Pump price for gasoline (US$ per liter),0.83,0.64,0.46,0.75,1.08,0.79,0.81,1.11,1.37,1.18,0.59,0.98
Greece,GRC,Pump price for gasoline (US$ per liter),0.65,0.72,0.78,1.14,1.16,1.23,2.05,2.06,1.98,1.54,1.8,1.89
Grenada,GRD,Pump price for gasoline (US$ per liter),0.54,0.54,0.54,0.73,0.89,1.28,1.02,1.4,1.31,1.12,1.26,0.63
Greenland,GRL,Pump price for gasoline (US$ per liter),0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
Guatemala,GTM,Pump price for gasoline (US$ per liter),0.41,0.53,0.48,0.68,0.78,0.86,0.95,1.14,1.01,0.79,0.965,0.988
Guyana,GUY,Pump price for gasoline (US$ per liter),0.3,0.37,0.31,0.74,0.81,0.84,0.93,1.08,1.15,0.9,0.99,1.07
High income,HIC,Pump price for gasoline (US$ per liter),0.72,0.76,0.83,1.135,1.26,1.27,1.59,1.83,1.645,1.225,1.528,1.586
"Hong Kong SAR, China",HKG,Pump price for gasoline (US$ per liter),1.36,1.46,1.47,1.54,1.69,1.95,1.92,2.16,2.06,1.86,2.01,2.035
Honduras,HND,Pump price for gasoline (US$ per liter),0.5,0.62,0.63,0.81,0.89,0.8,1.04,1.25,1.2,0.98,1.115,1.158
Heavily indebted poor countries (HIPC),HPC,Pump price for gasoline (US$ per liter),0.59,0.675,0.66,0.88,1.06,1.13,1.2,1.28,1.29,0.96,1.12,1.205
Croatia,HRV,Pump price for gasoline (US$ per liter),0.67,0.76,0.89,1.24,1.34,1.27,1.59,1.77,1.66,1.26,1.515,1.588
Haiti,HTI,Pump price for gasoline (US$ per liter),0.59,0.64,0.54,0.88,1.11,1.16,1.22,1.25,1.16,0.81,1.03,1.095
Hungary,HUN,Pump price for gasoline (US$ per liter),0.72,0.81,0.94,1.3,1.3,1.27,1.67,1.84,1.58,1.18,1.51,1.545
IBRD only,IBD,Pump price for gasoline (US$ per liter),0.42,0.53,0.49,0.67,0.825,0.91,1.095,1.29,1.17,0.83,1.06,1.115
IDA & IBRD total,IBT,Pump price for gasoline (US$ per liter),0.47,0.555,0.53,0.73,0.89,1.03,1.12,1.295,1.24,0.92,1.108,1.174
IDA total,IDA,Pump price for gasoline (US$ per liter),0.51,0.58,0.55,0.8,0.98,1.115,1.155,1.32,1.305,0.95,1.135,1.22
IDA blend,IDB,Pump price for gasoline (US$ per liter),0.5,0.535,0.53,0.8,0.98,1.175,1.235,1.37,1.225,1.02,1.195,1.21
Indonesia,IDN,Pump price for gasoline (US$ per liter),0.16,0.17,0.27,0.27,0.57,0.5,0.79,0.47,0.93,0.63,0.55,0.74
IDA only,IDX,Pump price for gasoline (US$ per liter),0.52,0.62,0.57,0.8,0.98,1.075,1.15,1.31,1.33,0.93,1.12,1.225
India,IND,Pump price for gasoline (US$ per liter),0.56,0.6,0.66,0.87,1.01,1.09,1.15,1.25,1.1,0.97,1.11,1.105
Ireland,IRL,Pump price for gasoline (US$ per liter),1.02,0.72,0.9,1.29,1.34,1.56,1.78,2.02,1.92,1.37,1.695,1.808
"Iran, Islamic Rep.",IRN,Pump price for gasoline (US$ per liter),0.08,0.05,0.07,0.09,0.09,0.1,0.097,0.33,0.374,0.399,0.365,0.369
Iraq,IRQ,Pump price for gasoline (US$ per liter),0.43,0.44,0.51,0.56,0.64,0.71,0.78,0.56,0.43,0.61,0.305,0.368
Iceland,ISL,Pump price for gasoline (US$ per liter),1.12,1.05,1.16,1.64,1.86,1.15,1.71,1.99,1.85,1.69,1.84,1.845
Israel,ISR,Pump price for gasoline (US$ per liter),0.86,1.14,0.9,1.05,1.47,1.37,1.85,2.01,1.88,1.57,1.79,1.835
Italy,ITA,Pump price for gasoline (US$ per liter),1.19,0.97,1.05,1.53,1.56,1.57,1.87,2.28,2.14,1.61,1.945,2.043
Jamaica,JAM,Pump price for gasoline (US$ per liter),0.37,0.62,0.52,0.63,0.82,0.74,0.98,1.2,1.14,1.11,1.155,1.148
Jordan,JOR,Pump price for gasoline (US$ per liter),0.42,0.45,0.52,0.61,0.86,0.61,1.04,1.44,1.27,1.1,1.27,1.27
Japan,JPN,Pump price for gasoline (US$ per liter),1.02,1.06,0.91,1.26,1.09,1.42,1.6,2,1.38,1.06,1.53,1.455
Kazakhstan,KAZ,Pump price for gasoline (US$ per liter),0.3,0.36,0.35,0.52,0.7,0.83,0.71,1.01,0.81,0.42,0.715,0.763
Kenya,KEN,Pump price for gasoline (US$ per liter),0.7,0.71,0.7,0.92,1.12,1.2,1.33,1.37,1.21,0.95,1.16,1.185
Kyrgyz Republic,KGZ,Pump price for gasoline (US$ per liter),0.47,0.44,0.39,0.48,0.64,0.8,0.85,0.89,0.94,0.56,0.725,0.833
Cambodia,KHM,Pump price for gasoline (US$ per liter),0.47,0.61,0.63,0.79,1.01,0.94,1.15,1.35,1.34,0.9,1.125,1.233
"Korea, Rep.",KOR,Pump price for gasoline (US$ per liter),0.93,0.92,1.09,1.35,1.65,1.51,1.52,1.8,1.55,1.22,1.51,1.53
Kuwait,KWT,Pump price for gasoline (US$ per liter),0.17,0.21,0.2,0.24,0.22,0.24,0.23,0.23,0.22,0.35,0.29,0.255
Latin America & Caribbean (excluding high income),LAC,Pump price for gasoline (US$ per liter),0.5,0.62,0.55,0.72,0.89,0.87,1.065,1.28,1.2,0.98,1.13,1.165
Lao PDR,LAO,Pump price for gasoline (US$ per liter),0.31,0.41,0.36,0.54,0.86,0.92,1.26,1.33,1.4,0.93,1.13,1.265
